CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
Windward Community College,Web Support,Certificate of Competence,,Web Support (Certificate of Competence),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Certificate of Competence,Digital Video,Digital Media Production (Certificate of Competence - Digital Video),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Hawaii Community College,Food Service,Certificate of Achievement,,Food Service (Certificate of Achievement),120500,PERSONAL AND CULINARY SERVICES
Leeward Community College,Culinary Arts,Certificate of Achievement,,Culinary Arts (Certificate of Achievement),120500,PERSONAL AND CULINARY SERVICES
Kauai Community College,Culinary Arts,Certificate of Competence,,Culinary Arts (Certificate of Competence),120500,PERSONAL AND CULINARY SERVICES
University of Hawaii at Manoa,Educ (Educational Admin),Doctor of Education,,Educ (Educational Admin) (Doctor of Education),130401,EDUCATION
UH Maui College,Early Childhood Education,Certificate of Achievement,,Early Childhood Education (Certificate of Achievement),131210,EDUCATION
University of Hawaii at Manoa,"Sec Education, Physics",Bachelor of Education,,"Sec Education, Physics (Bachelor of Education)",131205,EDUCATION
UH Maui College,Early Childhood Education,Certificate of Competence,Initial ECED,Early Childhood Education (Certificate of Competence - Initial ECED),131210,EDUCATION
University of Hawaii at Manoa,Curriculum Studies,Master of Education,Mathematics Education K-12,Curriculum Studies (Master of Education - Mathematics Education K-12),130301,EDUCATION
University of Hawaii at West Oahu,Education,Bachelor of Education,Early Childhood Education,Education (Bachelor of Education - Early Childhood Education),130101,EDUCATION
University of Hawaii at Manoa,Education,Doctor of Philosophy,Educational Administration,Education (Doctor of Philosophy - Educational Administration),130101,EDUCATION
University of Hawaii at Manoa,Education,Doctor of Philosophy,Exceptionalities,Education (Doctor of Philosophy - Exceptionalities),130101,EDUCATION
University of Hawaii at Manoa,Molecular Biosciences & Bioeng,Doctor of Philosophy,"Ecology, Evolutn, Conserv Biol","Molecular Biosciences & Bioeng (Doctor of Philosophy - Ecology, Evolutn, Conserv Biol)",140301,ENGINEERING
University of Hawaii at Manoa,Electrical&ComputerEngineering,Doctor of Philosophy,,Electrical&ComputerEngineering (Doctor of Philosophy),141001,ENGINEERING
Honolulu Community College,Occupational Envir Safety Mgt,Associate in Science,,Occupational Envir Safety Mgt (Associate in Science),150701,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Kauai Community College,Electronics Technology,Certificate of Competence,Cisco II,Electronics Technology (Certificate of Competence - Cisco II),150303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Architectural Eng & CAD Tech,Associate in Applied Science,,Architectural Eng & CAD Tech (Associate in Applied Science),151303,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Honolulu Community College,"Architecture,Eng.&Construction",Certificate of Achievement,,"Architecture,Eng.&Construction (Certificate of Achievement)",151001,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Hawaii Community College,Engineering Tech,Associate in Applied Science,,Engineering Tech (Associate in Applied Science),159999,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Leeward Community College,Mechatronics,Certificate of Competence,,Mechatronics (Certificate of Competence),150406,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
Leeward Community College,Mechatronics,Certificate of Competence,Computer Integrated Mfg,Mechatronics (Certificate of Competence - Computer Integrated Mfg),150406,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS
University of Hawaii at Manoa,East Asian Lang & Lit-Korean,Special Non-Degree,,East Asian Lang & Lit-Korean (Special Non-Degree),160303,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,East Asian Languages & Lit,Master of Arts,,East Asian Languages & Lit (Master of Arts),160300,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Lang & Lit of Europe & Amer,Bachelor of Arts,Spanish & Latin Amer Studies,Lang & Lit of Europe & Amer (Bachelor of Arts - Spanish & Latin Amer Studies),169999,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,East Asian Languages & Lit,Doctor of Philosophy,,East Asian Languages & Lit (Doctor of Philosophy),160300,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Hilo,Indigenous Lang & Culture Educ,Master of Arts,Indigenous Language Medium Ed,Indigenous Lang & Culture Educ (Master of Arts - Indigenous Language Medium Ed),161001,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Hilo,Indigenous Lang & Culture Educ,Master of Arts,Indig & Minorit Lang Revitaliz,Indigenous Lang & Culture Educ (Master of Arts - Indig & Minorit Lang Revitaliz),161001,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS"
University of Hawaii at Manoa,Apparel Prod Dsgn & Merchandsg,Bachelor of Science,,Apparel Prod Dsgn & Merchandsg (Bachelor of Science),190901,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES
University of Hawaii at Manoa,Law,Master of Laws,,Law (Master of Laws),220202,LEGAL PROFESSIONS AND STUDIES
University of Hawaii at Manoa,"Law-Non Degree, Unclassified",Non Degree,,"Law-Non Degree, Unclassified (Non Degree)",229999,LEGAL PROFESSIONS AND STUDIES
Kapiolani Community College,Paralegal,Certificate of Achievement,,Paralegal (Certificate of Achievement),220302,LEGAL PROFESSIONS AND STUDIES
University of Hawaii at Hilo,English,Bachelor of Arts,Literature,English (Bachelor of Arts - Literature),230101,ENGLISH LANGUAGE AND LITERATURE/LETTERS
University of Hawaii at Hilo,English,Bachelor of Arts,Writing Track,English (Bachelor of Arts - Writing Track),230101,ENGLISH LANGUAGE AND LITERATURE/LETTERS
University of Hawaii at Hilo,Liberal Studies,Subject Certificate,General (Pre-Law),Liberal Studies (Subject Certificate - General (Pre-Law)),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Hawaii Community College,Liberal Arts,Associate in Arts,Psychology,Liberal Arts (Associate in Arts - Psychology),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kauai Community College,Liberal Arts,Academic Subject Certificate,Plant Biology and Tropical Ag,Liberal Arts (Academic Subject Certificate - Plant Biology and Tropical Ag),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
UH Maui College,Liberal Arts,Associate in Arts,Exploratory,Liberal Arts (Associate in Arts - Exploratory),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at West Oahu,Humanities,Bachelor of Arts,Mathematics,Humanities (Bachelor of Arts - Mathematics),240103,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,Interdisciplinary Studies,Bachelor of Arts,,Interdisciplinary Studies (Bachelor of Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,General (Pre-Business),Bachelor of Arts,,General (Pre-Business) (Bachelor of Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Leeward Community College,Liberal Arts,Academic Subject Certificate,Hawaiian,Liberal Arts (Academic Subject Certificate - Hawaiian),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Social Work,Liberal Arts (Associate in Arts - Social Work),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kauai Community College,Liberal Arts,Academic Subject Certificate,Visual Arts,Liberal Arts (Academic Subject Certificate - Visual Arts),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,Interdisciplinary Studies,Bachelor of Arts,Linguistics,Interdisciplinary Studies (Bachelor of Arts - Linguistics),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Honolulu Community College,Liberal Arts,Academic Subject Certificate,Sustainability Issues,Liberal Arts (Academic Subject Certificate - Sustainability Issues),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kauai Community College,Liberal Arts,Academic Subject Certificate,Marine Option Program,Liberal Arts (Academic Subject Certificate - Marine Option Program),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
Kapiolani Community College,Liberal Arts,Associate in Arts,Pacific Islands Studies,Liberal Arts (Associate in Arts - Pacific Islands Studies),240101,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
University of Hawaii at Manoa,Library & Information Science,Master of Lib & Info Science,,Library & Information Science (Master of Lib & Info Science),250101,LIBRARY SCIENCE
University of Hawaii at Manoa,Tropical Plant Pathology,Master of Science,"Ecology, Evolutn, Conserv Biol","Tropical Plant Pathology (Master of Science - Ecology, Evolutn, Conserv Biol)",260305,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Hilo,Biology,Bachelor of Arts,"Ecology, Evolutn, Conserv Biol","Biology (Bachelor of Arts - Ecology, Evolutn, Conserv Biol)",260101,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Hilo,Biology,Bachelor of Science,,Biology (Bachelor of Science),260101,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Entomology,Bachelor of Science,,Entomology (Bachelor of Science),260702,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Microbiology,Doctor of Philosophy,Marine Biology,Microbiology (Doctor of Philosophy - Marine Biology),260502,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Botany,Doctor of Philosophy,"Ecology, Evolutn, Conserv Biol","Botany (Doctor of Philosophy - Ecology, Evolutn, Conserv Biol)",260301,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Biology,Bachelor of Arts,,Biology (Bachelor of Arts),260101,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Microbiology,Bachelor of Science,,Microbiology (Bachelor of Science),260502,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Manoa,Microbiology,Master of Science,,Microbiology (Master of Science),260502,BIOLOGICAL AND BIOMEDICAL SCIENCES
University of Hawaii at Hilo,Mathematics,Subject Certificate,STEM Honors,Mathematics (Subject Certificate - STEM Honors),270101,MATHEMATICS AND STATISTICS
Kapiolani Community College,Natural Science,Associate in Science,Engineering,Natural Science (Associate in Science - Engineering),301801,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Natural Science,Associate in Science,Info & Communication Tech,Natural Science (Associate in Science - Info & Communication Tech),301801,MULTI/INTERDISCIPLINARY STUDIES
Honolulu Community College,Natural Science,Associate in Science,Engineering,Natural Science (Associate in Science - Engineering),301801,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Natural Science,Associate in Science,Physical Sciences,Natural Science (Associate in Science - Physical Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Religions & Ancient Civs,Bachelor of Arts,BAM Religious Traditions,Religions & Ancient Civs (Bachelor of Arts - BAM Religious Traditions),302299,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Data Science,Bachelor of Science,Statistics,Data Science (Bachelor of Science - Statistics),307001,MULTI/INTERDISCIPLINARY STUDIES
UH Maui College,Natural Science,Associate in Science,Info & Communication Tech,Natural Science (Associate in Science - Info & Communication Tech),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Kinesiology & Exercise Science,Bachelor of Arts,Kinesiology & Exercise,Kinesiology & Exercise Science (Bachelor of Arts - Kinesiology & Exercise),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Hilo,Kinesiology & Exercise Science,Bachelor of Arts,Applied Kinesiology & Exer Sci,Kinesiology & Exercise Science (Bachelor of Arts - Applied Kinesiology & Exer Sci),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Manoa,Philosophy for Children Hawaii,Graduate Certificate,,Philosophy for Children Hawaii (Graduate Certificate),380101,PHILOSOPHY AND RELIGIOUS STUDIES
University of Hawaii at Manoa,Religion,Bachelor of Arts,,Religion (Bachelor of Arts),380201,PHILOSOPHY AND RELIGIOUS STUDIES
University of Hawaii at Manoa,Oceanography,Doctor of Philosophy,,Oceanography (Doctor of Philosophy),400607,PHYSICAL SCIENCES
University of Hawaii at Hilo,Chemistry,Bachelor of Science,Biosciences,Chemistry (Bachelor of Science - Biosciences),400501,PHYSICAL SCIENCES
University of Hawaii at Manoa,Astrophysics,Bachelor of Science,,Astrophysics (Bachelor of Science),400202,PHYSICAL SCIENCES
University of Hawaii at Manoa,Physics,Bachelor of Science,,Physics (Bachelor of Science),400801,PHYSICAL SCIENCES
University of Hawaii at Manoa,Earth Sciences,Bachelor of Science,Basic Science & Research,Earth Sciences (Bachelor of Science - Basic Science & Research),400601,PHYSICAL SCIENCES
University of Hawaii at Manoa,Earth Sciences,Bachelor of Science,Geophysics & Tectonics,Earth Sciences (Bachelor of Science - Geophysics & Tectonics),400601,PHYSICAL SCIENCES
University of Hawaii at Manoa,Oceanography,Doctor of Philosophy,Marine Biology,Oceanography (Doctor of Philosophy - Marine Biology),400607,PHYSICAL SCIENCES
Honolulu Community College,Fire & Envir Emergency Resp,Certificate of Achievement,,Fire & Envir Emergency Resp (Certificate of Achievement),430203,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
Hawaii Community College,Fire Science,Associate in Science,,Fire Science (Associate in Science),430203,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
Hawaii Community College,Fire Science,Certificate of Achievement,,Fire Science (Certificate of Achievement),430203,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
University of Hawaii at West Oahu,Disaster Prep & Emgncy Mgmt,Subject Certificate,,Disaster Prep & Emgncy Mgmt (Subject Certificate),430302,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
UH Maui College,Human Services,Associate in Science,General Human Services,Human Services (Associate in Science - General Human Services),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
Honolulu Community College,Human Services,Associate in Applied Science,Community Service,Human Services (Associate in Applied Science - Community Service),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
Honolulu Community College,Human Services,Certificate of Competence,,Human Services (Certificate of Competence),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at West Oahu,Public Administration,Bachelor of Arts,Long Term Care,Public Administration (Bachelor of Arts - Long Term Care),440401,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
UH Maui College,Human Services,Certificate of Competence,Aging,Human Services (Certificate of Competence - Aging),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at Manoa,Economics,Master of Arts,,Economics (Master of Arts),450601,SOCIAL SCIENCES
University of Hawaii at Hilo,Anthropology,Subject Certificate,Global Engagement,Anthropology (Subject Certificate - Global Engagement),450201,SOCIAL SCIENCES
Kauai Community College,Advanced Geographic Info Sys,Certificate of Competence,,Advanced Geographic Info Sys (Certificate of Competence),450799,SOCIAL SCIENCES
University of Hawaii at Hilo,Geography,Bachelor of Arts,Environmental Studies,Geography (Bachelor of Arts - Environmental Studies),450701,SOCIAL SCIENCES
University of Hawaii at West Oahu,Social Science,Bachelor of Arts,Economics,Social Science (Bachelor of Arts - Economics),450101,SOCIAL SCIENCES
University of Hawaii at West Oahu,Social Science,Bachelor of Arts,Sustainable Community Food Sys,Social Science (Bachelor of Arts - Sustainable Community Food Sys),450101,SOCIAL SCIENCES
Kauai Community College,Electrical Install&Maint Tech,Certificate of Competence,Solar Energy Technology/Techn,Electrical Install&Maint Tech (Certificate of Competence - Solar Energy Technology/Techn),460302,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Certificate of Achievement,,Construction Technology (Certificate of Achievement),460415,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Certificate of Achievement,Building Maint & Construction,Construction Technology (Certificate of Achievement - Building Maint & Construction),460415,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Certificate of Competence,Electrical Maintenance,Sustainable Construction Tech (Certificate of Competence - Electrical Maintenance),460000,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Certificate of Competence,Basic Carpentry Skills,Sustainable Construction Tech (Certificate of Competence - Basic Carpentry Skills),460000,CONSTRUCTION TRADES
Kauai Community College,Auto Body Repair & Painting,Associate in Applied Science,,Auto Body Repair & Painting (Associate in Applied Science),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Honolulu Community College,Auto Body Repair & Painting,Associate in Applied Science,,Auto Body Repair & Painting (Associate in Applied Science),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Hawaii Community College,Auto Body Repair & Painting,Associate in Applied Science,,Auto Body Repair & Painting (Associate in Applied Science),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Honolulu Community College,Refrigeration & Air Cond Tech,Certificate of Achievement,,Refrigeration & Air Cond Tech (Certificate of Achievement),470201,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Achievement,Master Automotive Srvce Tech,Automotive Technology (Certificate of Achievement - Master Automotive Srvce Tech),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Competence,Engine Specialist,Automotive Technology (Certificate of Competence - Engine Specialist),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Hawaii Community College,Auto Body Repair & Painting,Certificate of Achievement,,Auto Body Repair & Painting (Certificate of Achievement),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Achievement,Electronics/Comput Contrl Tech,Automotive Technology (Certificate of Achievement - Electronics/Comput Contrl Tech),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Hawaii Community College,Automotive Technology,Associate in Applied Science,,Automotive Technology (Associate in Applied Science),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Achievement,Non-Struc Analysis&Damage Rep,Automotive Technology (Certificate of Achievement - Non-Struc Analysis&Damage Rep),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
UH Maui College,Automotive Technology,Certificate of Achievement,Auto Body Repair & Painting,Automotive Technology (Certificate of Achievement - Auto Body Repair & Painting),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
University of Hawaii at Manoa,Theatre,Master of Fine Arts,,Theatre (Master of Fine Arts),500501,VISUAL AND PERFORMING ARTS
Leeward Community College,Performing Arts,Academic Subject Certificate,,Performing Arts (Academic Subject Certificate),500901,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Master of Arts,,Theatre & Dance (Master of Arts),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Master of Fine Arts,Theatre,Theatre & Dance (Master of Fine Arts - Theatre),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Hilo,Art,Subject Certificate,Digital Media Arts,Art (Subject Certificate - Digital Media Arts),500701,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,"Nursing, Upper Division",Bachelor of Science,,"Nursing, Upper Division (Bachelor of Science)",513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Nursing,Doctor of Philosophy,,Nursing (Doctor of Philosophy),513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,Dental Assisting,Certificate of Competence,,Dental Assisting (Certificate of Competence),510601,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Public Health,Master of Public Health,,Public Health (Master of Public Health),512201,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,School Health Aide,Certificate of Competence,,School Health Aide (Certificate of Competence),512601,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Dental Hygiene,Bachelor of Science,,Dental Hygiene (Bachelor of Science),510602,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at West Oahu,Substnce Abse & Addctn Studies,Undeclared,,Substnce Abse & Addctn Studies (Undeclared),511501,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Practical Nursing,Certificate of Achievement,,Practical Nursing (Certificate of Achievement),513901,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at West Oahu,Hwn &Indigenous Hlth & Healing,Subject Certificate,,Hwn &Indigenous Hlth & Healing (Subject Certificate),513300,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,One Health,Subject Certificate,,One Health (Subject Certificate),510000,HEALTH PROFESSIONS AND RELATED PROGRAMS
Hawaii Community College,Community Health Worker,Certificate of Competence,,Community Health Worker (Certificate of Competence),511504,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Pharmacy Technician,Certificate of Competence,,Pharmacy Technician (Certificate of Competence),510805,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kauai Community College,Medical Assisting,Certificate of Competence,Admin Medical Assisting,Medical Assisting (Certificate of Competence - Admin Medical Assisting),510801,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Business Careers,Certificate of Competence,Supervision I,Business Careers (Certificate of Competence - Supervision I),520101,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Management Foundations,Certificate of Competence,,Management Foundations (Certificate of Competence),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Business,Associate in Science,,Business (Associate in Science),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Marketing,Certificate of Competence,Retail Foundations,Marketing (Certificate of Competence - Retail Foundations),521401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Hospitality and Tourism,Certificate of Competence,Hospitality Management,Hospitality and Tourism (Certificate of Competence - Hospitality Management),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Human Resource Management,Master of Human Res Mgt,,Human Resource Management (Master of Human Res Mgt),521001,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at West Oahu,Business Administration,Bachelor of Arts,Marketing,Business Administration (Bachelor of Arts - Marketing),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Business Administration,Certificate of Achievement,,Business Administration (Certificate of Achievement),520101,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business Technology,Certificate of Achievement,,Business Technology (Certificate of Achievement),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Travel Industry Management,Bachelor of Science,Tourism Management,Travel Industry Management (Bachelor of Science - Tourism Management),520903,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Help Desk Services,Certificate of Competence,,Help Desk Services (Certificate of Competence),520411,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Princp of Sustainable Tourism,Certificate of Competence,,Princp of Sustainable Tourism (Certificate of Competence),520999,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Hospitality and Tourism,Associate in Science,Hospitality Operations Mgmt,Hospitality and Tourism (Associate in Science - Hospitality Operations Mgmt),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,Business Administration,Bachelor of Bus Admin,Economics,Business Administration (Bachelor of Bus Admin - Economics),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Accounting,Certificate of Achievement,,Accounting (Certificate of Achievement),520302,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Management Information Systems,Master of Science,,Management Information Systems (Master of Science),521201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Associate in Science,Administrative Assistant,Business (Associate in Science - Administrative Assistant),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Certificate of Competence,Administrative Assistant,Business (Certificate of Competence - Administrative Assistant),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Certificate of Competence,Hospitality and Tourism,Business (Certificate of Competence - Hospitality and Tourism),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Certificate of Competence,Entrepreneurship,Business (Certificate of Competence - Entrepreneurship),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Non-Profit Management,Graduate Certificate,,Non-Profit Management (Graduate Certificate),520206,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Certificate of Competence,Ag Prod Dev & Entrepreneurship,Business (Certificate of Competence - Ag Prod Dev & Entrepreneurship),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,History,Bachelor of Arts,East Asian,History (Bachelor of Arts - East Asian),540101,HISTORY
University of Hawaii at Hilo,History,Bachelor of Arts,Integrated Hawaiian History,History (Bachelor of Arts - Integrated Hawaiian History),540101,HISTORY
UH Maui College,Agriculture,Certificate of Achievement,Sustainable Trop Crop Mgmt.,Agriculture (Certificate of Achievement - Sustainable Trop Crop Mgmt.),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Subject Certificate,Beekeeping,Agriculture (Subject Certificate - Beekeeping),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Hawaii Community College,Agriculture,Associate in Applied Science,,Agriculture (Associate in Applied Science),010606,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Hawaii Community College,Agriculture,Certificate of Achievement,,Agriculture (Certificate of Achievement),010606,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Trop Plant Sci & Agroecology,Agriculture (Bachelor of Science - Trop Plant Sci & Agroecology),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Coastal Resrcs & Watershed Mgt,Agriculture (Bachelor of Science - Coastal Resrcs & Watershed Mgt),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Sustainable Agriculture,Associate in Science,,Sustainable Agriculture (Associate in Science),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
